PRDUCT,ENTRPS,RTRVL_RESN,ENFRC_YN,RTRVL_CMMND_DT,RECALL_COMMAND_DATE,ITEM_SEQ,BIZRNO,STD_CD,MAPPED_ITEM_SEQ
"리브러쉬화이트닝치아미백제","(주)성원제약","함량시험(과산화수소)",Y,20260604000000,20260430,202402280,2048175757,"",
"휴니즈트라셋정","(주)휴온스메디텍","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출",N,20260504000000,20260430,201502928,6178124930,"8806704008906,8806704008913,8806704008920",
"펜큐어정","현대약품(주)","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260528000000,20260430,200707219,1308100988,"8806420010801,8806420010818,8806420010825,8806420010832,8806420010849",
"펜큐어세미정","현대약품(주)","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260528000000,20260430,200707218,1308100988,"8806420010702,8806420010719,8806420010726,8806420010733,8806420010740",
"트라셋세미정","(주)휴온스메디텍","불순물(N-nitroso-desmethyl-tramadol) 허용기준 초과 검출",N,"",20260430,201603985,6178124930,"8806704012408,8806704012415,8806704012422,8806704012439,8806704012446",
"울트라맥정","맥널티제약(주)","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260527000000,20260430,200805388,2998102136,"8806415008806,8806415008813,8806415008820,8806415008837,8806415008844",
"울트라맥세미정","맥널티제약(주)","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260527000000,20260430,200805389,2998102136,"8806415009100,8806415009117,8806415009124,8806415009131,8806415009148",
"휴트라돌정","(주)휴온스","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260529000000,20260430,200712588,8638700270,"8806706043202,8806706043219,8806706043226,8806706043233",
"휴트라돌세미정","(주)휴온스","불순물(N-nitroso-N-desmethyl-tramadol) 허용기준 초과 검출",N,20260529000000,20260430,200712587,8638700270,"8806706043103,8806706043110,8806706043127,8806706043134,8806706043141,8806706043158",
"네오코정","한국신텍스제약(주)","품질 부적합(확인시험 1), 함량시험(클로로르페니라민말레산염, 슈도에페드린염산염), 제제균일성시험)",Y,20260518000000,20260429,201309541,6138163381,"8806230033502,8806230033519",
"풍산토사자","풍산주식회사","성상 부적합",Y,20260428000000,20260422,199805821,5088102535,"8800679015105,8800679015112,8800679015129",
"1.그린파인치약, 2.미라클키트케어치약, 3.화인메가치약","우리생활건강","품질부적합 우려(그린파인치약)",N,"",20260422,202300562,6132694871,"",
"단바이오치약","우리생활건강","품질부적합 우려",N,"",20260422,202300984,6132694871,"",
"솔고플라티노이온덴티치약","우리생활건강","품질부적합 우려",N,"",20260422,201206589,6132694871,"",
"1.마데바텔넥치약, 2.덴탈힐링프로폴치약, 3.프로폴리브이아이피홍삼향진치약, 4.닥터하루오프리미엄치약","우리생활건강","품질부적합 우려(마데바텔넥치약)",N,20260515000000,20260420,202007244,6132694871,"",
"1.마데바텔넥치약, 2.덴탈힐링프로폴치약, 3.프로폴리브이아이피홍삼향진치약, 4.닥터하루오프리미엄치약","우리생활건강","품질부적합 우려(프로폴리브이아이피홍삼향진치약)",N,20260515000000,20260420,202007244,6132694871,"",
